pointID,SITE  NAME,EIS Facility ID,STATE,State-County,Pollutant,Pollutant Type,Emissions (Tons),Facility Type,Street Address,NAICS,EPA Region,FIPS,Latitude,Longitude
70,Allied Asphalt Paving Co,9708511,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00008,Hot Mix Asphalt Plant,10555 Waveland Ave,Asphalt Paving Mixture and Block Manufacturing,5,17031,41.946131,-87.891895
71,Allied Metal Co,1730311,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.001,Secondary Copper Smelting/Refining Plant,4528 W Division St,"Copper Rolling, Drawing, Extruding, and Alloying",5,17031,41.903133,-87.739426
72,Allied Tube & Conduit Corp,3337511,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00001,Unspecified,16100 S Lathrop Ave,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,5,17031,41.595535,-87.642446
73,Alpha Baking Co Inc,1773611,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00002,Bakeries,5001 W Polk St,Commercial Bakeries,5,17031,41.869491,-87.749807
74,ALSCO-American Linen Division,4653111,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00001,Dry Cleaner - Petroleum Solvent,2641 S Leavitt St,Industrial Launderers,5,17031,41.843618,-87.679632
75,Alsip MiniMill LLC,2618311,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00033,Pulp and Paper Plant,13101 S Pulaski Rd,Paper Mills,5,17031,41.654057,-87.716457
76,Aluminum Coil Anodizing Corp,3355111,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00003,Unspecified,501 E Lake St,"Electroplating, Plating, Polishing, Anodizing, and Coloring",5,17031,42.000068,-88.173674
77,American Airlines,3152911,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00006,Unspecified,O'Hare International Airport,Scheduled Passenger Air Transportation,5,17031,41.994279,-87.915058
78,American Bottling Co,17734511,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00004,Food Products Processing Plant,401 N Railroad Ave,Soft Drink Manufacturing,5,17031,41.915759,-87.911997
79,American Sugar Refining Inc,1746711,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00002,Unspecified,2905 S Western Ave,All Other Miscellaneous Food Manufacturing,5,17031,41.839134,-87.683048
80,American Sweetener Corp,2306311,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00002,Sugar Mill,2400 E 130th St,Cane Sugar Manufacturing,5,17031,41.661905,-87.567245
81,American Zinc Recycling Corp,7337011,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.11486,"Secondary Non-ferrous Metal Smelting/Refining Plant (not Lead, Aluminum, or Copper)",2701 E 114th St,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",5,17031,41.687645,-87.554445
82,Amitron Corp,8313411,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00232,Unspecified,2001 Landmeier Rd,Bare Printed Circuit Board Manufacturing,5,17031,42.009722,-87.952668
83,Ampel Inc,2649611,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00022,Unspecified,925 Estes Ave.,Bare Printed Circuit Board Manufacturing,5,17031,42.00194,-87.98166
84,Ann & Robert H Lurie Childrens Hospital of Chicago,14984411,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0,Unspecified,225 E Chicago Ave,General Medical and Surgical Hospitals,5,17031,41.896447,-87.621517
85,Aramark Uniform & Career Apparel,9721911,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00003,Dry Cleaner - Petroleum Solvent,4200 S Halsted St,Industrial Launderers,5,17031,41.816865,-87.646985
86,Ardagh Glass Inc,7335811,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.219,Glass Plant,13850 Cottage Grove Ave,Glass Container Manufacturing,5,17031,41.642307,-87.600021
87,ARYZTA LLC,2749111,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00002,Bakeries,111 Northwest Ave,Commercial Bakeries,5,17031,41.909464,-87.917622
88,Ashland LLC,929611,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00004,"Plastic, Resin, Rubber or Syn Fiber Manuf Plant",14303 Paxton Ave,Plastics Material and Resin Manufacturing,5,17031,41.637025,-87.567324
89,Asphalt Operating Services,9723411,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00001,Unspecified,651 Comiskey Rd,Other Warehousing and Storage,5,17031,42.010411,-88.25586
90,Atlas Tube Inc,3203711,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.0005,Unspecified,1855 E 122nd St,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,5,17031,41.671655,-87.578045
91,B&B Pullman Properties Inc,9718411,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0,Unspecified,700 E 107th St,Meat and Meat Product Merchant Wholesalers,5,17031,41.700529,-87.604087
92,Bagcraft Packaging LLC,1729911,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00001,"Plastic, Resin, Rubber or Syn Fiber Manuf Plant",3900 W 43rd St,Paper Bag and Coated and Treated Paper Manufacturing,5,17031,41.81566,-87.720989
93,Blommer Chocolate Co,1755911,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00007,Food Products Processing Plant,600 W Kinzie St,Chocolate and Confectionery Manufacturing from Cacao Beans,5,17031,41.889413,-87.643653
94,Bluewater Thermal Solutions,2265411,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00002,Unspecified,5400 W Lake St,Metal Heat Treating,5,17031,41.899638,-87.899166
95,BNSF Railway Co,16785411,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00006,Unspecified,3611 W 38th St,Short Line Railroads,5,17031,41.816133,-87.715054
96,BorgWarner Transmission Products LLC,2293811,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00004,Unspecified,700 25th Ave,Other Motor Vehicle Parts Manufacturing,5,17031,41.880436,-87.865316
97,BWAY Corp,1730011,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00006,Fabricated Metal Products Plant,3200 S Kilbourn,Metal Can Manufacturing,5,17031,41.8349,-87.737591
98,Calumet Brass Foundry Inc,1917511,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.033,"Foundries, non-ferrous",14610 Lakeside Ave,Other Nonferrous Metal Foundries (except Die-Casting),5,17031,41.629145,-87.611213
99,Calumet Refining LLC,1761911,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00001,Unspecified,13921 Mackinaw Ave,Petroleum Lubricating Oil and Grease Manufacturing,5,17031,41.640553,-87.542623
100,Campagna-Turano Bakery Inc,2431311,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00004,Bakeries,6501 W Roosevelt Rd,Commercial Bakeries,5,17031,41.86501,-87.786474
101,Carbit Paint Co,1897111,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0,Unspecified,927 W Blackhawk St,Paint and Coating Manufacturing,5,17031,41.907493,-87.651854
102,Cargill Inc,3359411,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00006,Unspecified,12201 S Torrence,All Other Basic Organic Chemical Manufacturing,5,17031,41.676227,-87.555765
103,Carl Buddig & Co,3353411,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00005,Food Products Processing Plant,50 Taft Dr W,Meat Processed from Carcasses,5,17031,41.59484,-87.619682
104,Carl Sandburg High School,1863211,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00001,"Institutional (school, hospital, prison, etc.)",13100 S LaGrange Rd,Elementary and Secondary Schools,5,17031,41.649536,-87.855478
105,Chicago - Dept of Aviation,1756611,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00019,Unspecified,O'Hare International Airport,Other Airport Operations,5,17031,41.979201,-87.89832
106,Chicago American Manufacturing LLC,2782311,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00001,Unspecified,4500 W 47th St,All Other Miscellaneous Fabricated Metal Product Manufacturing,5,17031,41.808322,-87.735834
107,Chicago Dowel Co Inc,1746611,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0,Unspecified,4700 W Grand Ave,All Other Miscellaneous Manufacturing,5,17031,41.913252,-87.743512
108,Chicago Extruded Metals Co,1931211,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00516,Fabricated Metal Products Plant,1601 S 54th Ave,"Copper Rolling, Drawing, Extruding, and Alloying",5,17031,41.857065,-87.757981
109,Chicago Midway International Airport,2726111,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.05311,Airport,5700 S Cicero,Other Airport Operations,5,17031,41.785,-87.7519
110,Chicago O'Hare International Airport,2681611,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.07696,Airport,10000 Bessie Coleman Dr,Other Airport Operations,5,17031,41.9772,-87.9044
111,Chicago State University,1769611,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00003,"Institutional (school, hospital, prison, etc.)",9501 S Martin Luther King Dr,"Colleges, Universities, and Professional Schools",5,17031,41.716714,-87.607025
112,Chicago Transit Authority,4652011,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00002,Unspecified,358 S Kedzie,Bus and Other Motor Vehicle Transit Systems,5,17031,41.876389,-87.707287
113,Chicago Transit Authority,4651911,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00002,Unspecified,642 N Pulaski Rd,Bus and Other Motor Vehicle Transit Systems,5,17031,41.892717,-87.730581
114,Chicago Transit Authority,4651711,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00002,Unspecified,1702 E 103rd St,Bus and Other Motor Vehicle Transit Systems,5,17031,41.709869,-87.581501
115,Chicago Transit Authority,4652111,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00001,Unspecified,3112 W Foster Ave,Regulation and Administration of Transportation Programs,5,17031,41.976126,-87.706996
116,Chicago Transit Authority,2781711,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00002,Unspecified,3701 W Oakton St,Regulation and Administration of Transportation Programs,5,17031,42.025024,-87.721507
117,Chicago Transit Authority,3214211,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0,Unspecified,3900 W Maypole Ave,Regulation and Administration of Transportation Programs,5,17031,41.884628,-87.723957
118,Chicago Transit Authority,4652211,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00005,Unspecified,7801 S Vincennes Ave,Bus and Other Motor Vehicle Transit Systems,5,17031,41.753155,-87.63148
119,Chromium Industries LLC,7315511,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00001,Unspecified,4645 W Chicago Ave,"Electroplating, Plating, Polishing, Anodizing, and Coloring",5,17031,41.894743,-87.742859
120,Cintas Corp,2645811,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00001,Dry Cleaner - Petroleum Solvent,1025 National Pkwy,Industrial Launderers,5,17031,42.054592,-88.051586
121,Cintas Corp,9706711,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00001,Dry Cleaner - Petroleum Solvent,1201 W St Charles Rd,Industrial Launderers,5,17031,41.888594,-87.847719
122,Cintas Corp,3211011,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0,Dry Cleaner - Petroleum Solvent,8201 S Cork Ave,Industrial Launderers,5,17031,41.742539,-87.837313
123,CITGO Petroleum Corp,1931611,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00002,Unspecified,3737 S Cicero Ave,Petroleum Lubricating Oil and Grease Manufacturing,5,17031,41.823301,-87.742179
124,Clear Channel Outdoor,3201611,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0,Printing/Publishing Facility,4000 S Morgan St,Commercial Screen Printing,5,17031,41.820542,-87.651516
125,Cleveland-Cliffs Riverdale LLC,10692111,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.0491,Steel Mill,13500 S Perry Ave,Iron and Steel Mills and Ferroalloy Manufacturing,5,17031,41.656474,-87.625847
126,Coca Cola Refreshments USA Inc,2385011,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00007,Food Products Processing Plant,7400 N Oak Park Ave,Soft Drink Manufacturing,5,17031,42.016187,-87.795561
127,Color Communications LLC,1897211,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00003,Printing/Publishing Facility,4000 W Fillmore St,Paper Bag and Coated and Treated Paper Manufacturing,5,17031,41.868239,-87.728874
128,Contanda Terminals,3210911,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0,Unspecified,13550 S Indiana Ave,Other Warehousing and Storage,5,17031,41.64938,-87.619177
129,Cook County c/o MB Real Estate,10797411,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00001,Unspecified,69 W Washington St,Other General Government Support,5,17031,41.882915,-87.630027
130,Corrugated Supplies Co LLC,2293611,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00006,Unspecified,5043 W 67th St,Corrugated and Solid Fiber Box Manufacturing,5,17031,41.770355,-87.746941
131,Cosmic Ventures LLC,16900611,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0,Unspecified,2299 Busse Rd,Custom Computer Programming Services,5,17031,41.993917,-87.957702
132,Daubert Chemical Co,7334711,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0.00002,Chemical Plant,4700 S Central Ave,Adhesive Manufacturing,5,17031,41.808214,-87.763735
133,Deluxe Manufacturing Operations Inc,1832611,Illinois,IL - Cook,Lead Compounds,CAP/HAP,0,Printing/Publishing Facility,1600 E Touhy Ave,Commercial Printing (except Screen and Books),5,17031,42.010917,-87.88437
